
# ---------------------------------------------------------------------------------------------
# Reference values for Geodetic distance calculations
#
# Geodetic Coordinates in decimal degrees
# Geodetic Distance in meters, computed for WGS-84
# ---------------------------------------------------------------------------------------------
#     lon1              lat1               lon2              lat2                   dist [m]
G  -51.4085340247    -22.1199047411     -47.8778689831     -15.9474753422        777678.312395
G  -72.6721101528     -7.61116266470018 -34.9503846844      -8.05880088829999   4159046.871738
G  -52.4176285447    -31.8024494453     -60.7011149303       2.84518234669995   3933424.003748
G  -40.3777106839    -18.71351505       -60.0550166443999   -3.02291966309998   2758184.863263
G  -53.7165931416999 -29.7189238847     -38.4322537231     -12.9392468369       2436791.881436
G -114.130843643907   50.9980741027275   46.9966849958845  -25.0404740592505   16706474.977623
G   -3.68098140492758 40.4131494181277   18.048798539968    59.3139569514804    2593621.985112
G -122.417082949301   37.7193187554247  -80.1346366035935   25.9187278331509    4171974.630018
G  115.086922996174  -26.5230046929511  152.9346608152     -31.2263109574523    3710896.118506
G  132.590113251395  -13.5061833472435  146.919579608703   -42.2393620015358    3471654.109660
G -117.581580484104   33.7142342861672 -104.941209254406    39.8116820819908    1313992.474491
G -122.166267259046   47.6817516875593  -99.0003739875842   19.3111020355871    3780921.135231
G  -94.5305364005772  39.1069257014803  -73.4336686511573   45.5442806898794    1873118.994403
G  -68.3153391848001 -54.8254988924871 -120.184248697561    55.7461368383713   13132633.949037
G   18.4410413256406 -33.9702204702134  139.788489121464    37.5941646805987   14792357.494943
G  106.822131812879   10.8598259334989  108.663199098262    34.9943966991601    2679521.380553
G  -15.8379609945452  18.780939622594    48.4989009544108    8.38607303326685   7023271.321441
G   36.1600088430419  37.0429755854711   10.9810645274966   49.484680921898     2449023.955415
G  -61.3332481175149  10.5998926388353  -72.4959511337561  -51.7276160618608    6988401.913489
G   -6.32998535649377 53.3550405506682   -0.144007978303511 51.5002334160974     468458.021758
G   14.249200040838   40.8342132594849   -6.37130459953322  39.4674064149373    1759441.408424
G    8.63793989002587 50.0369394775824  137.01671019165     50.5343292687657    7833096.275559
G  -51.9290192167025 -23.4306141767099  -51.1726568327117  -23.3111427439953      78454.393045
G  -51.4081488752001 -22.1189015443868  -51.4074215513892  -22.1194985843375        100.010136
G   18.3646026519532  39.8401825260888   18.3646346564667   39.8401921557654          2.940615
G    9.45913123963086  0.432455503630167 39.7078261352225   -4.04187744300556   3400894.269811
G    4.2564050215334   8.13068636209882  44.0124592558721   36.1865883342566    5085076.681840
G   31.8096605319742 -26.7085320253722   -6.63755524528794  34.2611605500338    7873234.057584
G -149.817949676842   61.1753136822844  174.063820552276   -39.2959853497636   11607659.235129
G  -77.0299974219119 -12.001469054085    73.461301882031    61.2644822220181   14039297.288267
G  -81.6480368650687  30.3671504354753   -4.52593709708723  54.2256191129695    6517252.086949
G   77.3531232277388   8.47851934498805  88.1686684713582   69.3635251454521    6805735.446872
# ---------------------------------------------------------------------------------------------
